0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
AR001,"Beras giling, 
mentah",KZGMI-2001,12.0,357,8.4,1.7,77.1,0.2,0.8,147.0,81.0,1.8,27.0,71.0,0.10,0.5,0.0,0.0,0,0.2,0.08,2.6,0.0,100.0
AR002,"Beras giling var 
pelita, mentah",KZGPI- 1990,11.4,369,9.5,1.4,77.1,0.4,0.6,68.0,171.0,1.4,34.0,0.0,0.00,0.0,0.0,0.0,0,0.26,0.0,0.0,0.0,100.0
AR003,"Beras giling var 
rojolele, mentah",KZGPI- 1990,12.0,357,8.4,1.7,77.1,0.2,0.8,147.0,81.0,1.8,34.0,112.9,0.14,0.1,,0.0,80,0.2,0.02,1.5,0.0,100.0
AR004,"Beras hitam, 
mentah",KZGMI-2001,12.9,351,8.0,1.3,76.9,20.1,0.9,6.0,198.0,0.1,15.0,105.0,0.10,1.6,0.0,0.0,0,0.21,0.06,0.0,0.0,100.0
AR005,"Beras jagung 
kuning, kering, 
mentah",KZGMI-2001,10.8,358,5.5,0.1,82.7,10.0,0.9,20.0,90.0,1.4,1.0,80.0,0.10,4.1,,641.0,,0.12,0.08,1.0,3.0,100.0
AR006,"Beras jagung 
putih, kering, 
mentah",KZGMI-2001,22.5,307,4.8,0.1,71.8,10.0,0.8,17.0,78.0,1.2,1.0,70.0,0.10,3.5,,301.0,,0.15,0.07,0.9,0.0,100.0
AR007,"Beras ketan hitam 
tumbuk, mentah",KZGPI- 1990,13.7,360,8.0,2.3,74.5,1.0,1.5,10.0,347.0,6.2,11.0,288.0,0.28,2.2,0.0,0.0,0,0.24,0.1,2.0,0.0,100.0
AR008,"Beras ketan putih 
tumbuk, mentah",KZGPI- 1990,12.9,361,7.4,0.8,78.4,0.4,0.5,13.0,157.0,3.4,3.0,282.0,0.28,2.2,0.0,0.0,0,0.28,0.0,1.4,0.0,100.0
AR009,"Beras ladang, 
mentah",KZGMI-2001,9.8,376,7.5,3.8,78.0,5.9,0.9,20.0,110.0,0.8,10.0,70.0,0.10,1.4,0.0,0.0,,0.2,0.2,5.1,0.0,100.0
AR010,"Beras menir, 
mentah",DABM-1964,12.0,362,7.7,4.4,73.0,0.2,0.2,22.0,272.0,3.7,90.0,201.0,0.10,0.5,0.0,0.0,,0.55,0.0,1.9,0.0,100.0
AR011,Beras parboiled,DABM-1964,10.0,353,6.8,0.6,80.0,0.5,2.5,5.0,142.0,0.8,2.0,46.0,0.28,1.0,0.0,0.0,,0.22,0.11,3.4,0.0,100.0
